Journal title,Journal URL,Alternative title,Journal ISSN (print version),Journal EISSN (online version),Journal provides download statistics,Download statistics information URL,Journal license
Dialogic Pedagogy,http://dpj.pitt.edu,,,2325-3290,Yes,https://plu.mx/pitt/g/journals/issn-23253290,CC BY
Optometry & Visual Performance,http://www.ovpjournal.org/,,2325-3479,2325-3487,,,
The Online Journal of Applied Knowledge Management,http://www.iiakm.org/ojakm/,,2325-4688,,,,CC BY-NC-ND
On Our Terms : The Undergraduate Journal of the Athena Center for Leadership Studies,http://onourterms.barnard.edu,,2325-4696,,,,
Journal of Human Sciences and Extension,http://www.jhseonline.com,,2325-5226,,,,CC BY-NC-ND
connexions : international professional communication journal,http://connexionsjournal.org,,2325-6044,,,,CC BY-NC-ND
Global Education Review,http://ger.mercy.edu,,2325-663X,,,,CC BY
Orthopaedic Journal of Sports Medicine,http://ojs.sagepub.com/,,2325-9671,,,,CC BY-NC-ND
Eye and Vision,http://www.eandv.org/,,2326-0246,2326-0254,Yes,http://www.eandv.org/content/2/1/11/about,CC BY
Journal of the Arkansas Academy of Science,http://libinfo.uark.edu/aas/,,2326-0491,2326-0505,,,
ACG Case Reports Journal ,http://acgcasereports.gi.org/,,,2326-3253,,,CC BY-NC-ND
Undergraduate Journal of Mathematical Modeling : One + Two,http://scholarcommons.usf.edu/ujmm/,,2326-3652,,,,CC BY-NC-SA
Journal of Inborn Errors of Metabolism and Screening ,http://iem.sagepub.com,,,2326-4594,,,CC BY
Mathematics and Mechanics of Complex Systems,http://msp.org/memocs,MEMOCS,2326-7186,2325-3444,,,
Journal of Biological Methods,http://www.jbmethods.org,,,2326-9901,,,CC BY
Communications in Control Science and Engineering (CCSE),http://www.as-se.org/ccse,,2327-3038,2327-3054,,,
Critical Questions in Education,http://academyforeducationalstudies.org/journals/journal/,,,2327-3607,,,CC BY
AIMS Public Health,http://www.aimspress.com/journal/aimsph,,,2327-8994,,,CC BY
Hipogrifo : Revista de Literatura y Cultura del Siglo de Oro,http://www.revistahipogrifo.com/index.php/hipogrifo,,2328-1308,,,,
Mid-Atlantic Education Review,http://maereview.org,,2328-3610,,,,CC BY-NC-ND
Earth's Future,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2328-4277,,,2328-4277,,,CC BY-NC-ND
Studies in Surveying and Mapping Science,http://www.as-se.org/ssms/,,2328-6245,2328-6253,,,
Journal of Eastern European and Central Asian Research,http://ieeca.org/journal/index.php/JEECAR/index,,2328-8272,2328-8280,,https://www.google.com/analytics/web/?utm_medium=email&utm_source=newbie&utm_campaign=febemail1&utm_content=en_us#report/visitors-overview/a41009396w70489325p72656442/,CC BY
Open Forum Infectious Diseases,http://ofid.oxfordjournals.org/,,,2328-8957,,We supply statistics to customers and authors but these are not publicly avaialable,CC BY-NC-ND
Annals of Clinical and Translational Neurology ,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2328-9503,ACTN,,2328-9503,,,CC BY-NC-ND
Molecular Therapy: Methods & Clinical Development,http://www.nature.com/mtm/,,,2329-0501,,,CC BY-NC-ND
American Journal of Humanities and Social Sciences,http://worldscholars.org/index.php/ajhss,,2329-0781,2329-079X,,,CC BY
"International Journal of Society, Culture and Language",http://www.ijscl.net,,2329-2210,,,,
Structural Dynamics,http://sd.aip.org,,,2329-7778,Yes,http://scitation.aip.org/content/aca/journal/sdy/2/5/10.1063/1.4927407?showFTTab=true&containerItemId=content/aca/journal/sdy,CC BY
Enquiry : The ARCC Journal of Architectural Research,http://www.arcc-journal.org/,,2329-9339,,,,CC BY-SA
Vedic Research International Phytomedicine,http://www.vedicjournals.com/index.php/PM,,2330-0280,,,,CC BY-NC
Receptors & Clinical Investigation,http://www.smartscitech.com/index.php/rci,,,2330-0566,,,CC BY
Journal of Patient-Centered Research and Reviews ,http://digitalrepository.aurorahealthcare.org/jpcrr/,,,2330-0698,Yes,http://digitalrepository.aurorahealthcare.org/jpcrr/,Publisher's own license
International Journal of Advanced Multidisciplinary Research and Review,http://ijamrr.com/,IJAMRR,,2330-1201,,,CC BY
Contention: The Multidisciplinary Journal of Social Protest,http://www.contentionjournal.org,Contention,,2330-1392,,,CC BY-NC-ND
"Proceedings of the American Mathematical Society, Series B",http://www.ams.org/bproc,"Proc. Amer. Math. Soc., Ser. B",,2330-1511,,,CC BY-NC
The Journal of Analytic Theology,http://journalofanalytictheology.com/,,2330-2380,,,,
SLIS Connecting ,http://aquila.usm.edu/slisconnecting/,,,2330-2917,,,CC BY-NC
Molecular & Cellular Epilepsy,http://www.smartscitech.com/index.php/MCE/index,,,2330-3891,,,CC BY
"Ergo, An Open Access Journal of Philosophy",http://www.ergophiljournal.org/,,,2330-4014,,,CC BY-NC-ND
International Journal of Cancer Therapy and Oncology ,http://www.ijcto.org/index.php/IJCTO/index,IJCTO,,2330-4049,,,CC BY
International Journal of Women's Health and Reproduction Sciences,http://www.ijwhr.net/,,,2330-4456,,,
Inflammation and Cell Signaling,http://www.smartscitech.com/index.php/ICS/index,,,2330-7803,,,CC BY
Musical Offerings,http://digitalcommons.cedarville.edu/musicalofferings,,2330-8206,2167-3799,,,CC BY-NC-ND
Global Journal of Psychological Research,http://journal.newcenturyscience.com/index.php/gjpr,,2330-913X,2334-2021,,,CC BY
American Journal of Experimental and Clinical Research,http://www.ajecr.org,,2330-9237,2330-9245,,,CC BY-NC-ND
Cogent Mathematics,http://cogentoa.tandfonline.com/journal/oama20,,,2331-1835,Yes,http://cogentoa.tandfonline.com/doi/full/10.1080/23311835.2014.982896,CC BY
Cogent Education,http://cogentoa.tandfonline.com/journal/oaed20,,,2331-186X,Yes,http://cogentoa.tandfonline.com/doi/full/10.1080/2331186X.2014.934084,CC BY
Cogent Social Sciences,http://cogentoa.tandfonline.com/journal/oass20,,,2331-1886,Yes,http://cogentoa.tandfonline.com/doi/full/10.1080/23311886.2015.1060687,CC BY
Cogent Psychology,http://cogentoa.tandfonline.com/journal/oaps20,,,2331-1908,Yes,http://cogentoa.tandfonline.com/doi/full/10.1080/23311908.2014.969553,CC BY
Cogent Engineering,http://cogentoa.tandfonline.com/journal/oaen20,,,2331-1916,Yes,http://cogentoa.tandfonline.com/doi/full/10.1080/23311916.2014.966459,CC BY
Cogent Food & Agriculture,http://cogentoa.tandfonline.com/journal/oafa20,,,2331-1932,Yes,http://cogentoa.tandfonline.com/doi/full/10.1080/23311932.2014.998507,CC BY
Cogent Physics,http://cogentoa.tandfonline.com/journal/oaph20,,,2331-1940,Yes,http://cogentoa.tandfonline.com/doi/full/10.1080/23311940.2015.1064575,CC BY
Cogent Business & Management,http://cogentoa.tandfonline.com/journal/oabm20,,,2331-1975,Yes,http://cogentoa.tandfonline.com/doi/full/10.1080/23311975.2015.1067567,CC BY
Cogent Arts & Humanities,http://cogentoa.tandfonline.com/journal/oaah20,,,2331-1983,Yes,http://cogentoa.tandfonline.com/doi/full/10.1080/23311983.2015.1073656,CC BY
Cogent Chemistry,http://cogentoa.tandfonline.com/journal/oach20,,,2331-2009,Yes,http://cogentoa.tandfonline.com/doi/full/10.1080/23312009.2014.1002339,CC BY
Trends in Hearing,http://tia.sagepub.com,,,2331-2165,,,CC BY-NC
Reconstructive Review,http://reconstructivereview.org,,2331-2262,2331-2270,,,CC BY-NC
Journal on Migration and Human Security,http://jmhs.cmsny.org/index.php/jmhs,,2331-5024,2330-2488,,,Not CC-like
Neutrosophic Sets and Systems,http://fs.gallup.unm.edu/NSS,,2331-6055,2331-608X,,,"non-exclusive, worldwide, royalty-free license"
Cogent Economics & Finance,http://cogentoa.tandfonline.com/journal/oaef20,,,2332-2039,Yes,http://cogentoa.tandfonline.com/doi/full/10.1080/23322039.2014.948123,CC BY
Hybrid Pedagogy,http://www.hybridpedagogy.com,,,2332-2098,,,CC BY-NC
Neurology: Neuroimmunology & Neuroinflammation,http://neurology.org/nn,,,2332-7812,,,CC BY-NC-ND
NYS TESOL Journal,http://journal.nystesol.org,,,2332-8541,,http://journal.nystesol.org/webalizer/index.html,CC BY-NC-SA
"Criminology, Criminal Justice, Law & Society",https://submissions.scholasticahq.com/criminology-criminal-justice-law-society/about,CCJLS,,2332-886X,,,Publisher's own license
Vivlīoḟika,http://vivliofika.library.duke.edu/,Vivliofika: E-Journal of Eighteenth-Century Russian Studies ,,2333-1658,,,CC BY
Weave: Journal of Library User Experience ,http://weaveux.org/,,,2333-3316,,,CC BY
Health Services Research & Managerial Epidemiology,http://hme.sagepub.com,,,2333-3928,,,CC BY-NC
Global Qualitative Nursing Research,http://gqn.sagepub.com,,,2333-3936,,,CC BY-NC
Earth and Space Science,http://agupubs.onlinelibrary.wiley.com/agu/journal/10.1002/(ISSN)2333-5084/,,,2333-5084,,,CC BY-NC-ND
National Cybersecurity Institute Journal,http://ncij.wp.excelsior.edu/,,,2333-7184,,,Publisher's own license
Global Pediatric Health,http://gph.sagepub.com,,,2333-794X,,,CC BY-NC
AIMS Energy,http://www.aimspress.com/journal/energy,,2333-8326,2333-8334,,,CC BY
NPJ Schizophrenia,http://www.nature.com/npjschz/,npj Schz,,2334-265X,Yes,http://www.nature.com/articles/npjschz201511/metrics,CC BY
Perspectives on Terrorism,http://www.terrorismanalysts.com/pt/,PT,,2334-3745,,,CC BY
Geonauka,http://geonauka.sgs.org.rs,,2334-8119,2334-8135,,,
"International Journal of Cognitive Research in Science, Engineering and Education",http://www.ijcrsee.com,,2334-847X,2334-8496,,,CC BY
ESP Today,http://www.esptodayjournal.org/,Journal of English for Specific Purposes at Tertiary Level,,2334-9050,,,CC BY
Serbian Journal of Experimental and Clinical Research ,http://www.degruyter.com/view/j/sjecr,,,2335-075X,,,CC BY-NC-ND
"Slovenščina 2.0 : Empirične, Aplikativne in Interdisciplinarne Raziskave",http://www.trojina.org/slovenscina2.0/si/zadnja-stevilka/,"Slovenščina 2.0 : Empirical, Applied and Interdisciplinary Research",2335-2736,,,,CC BY-SA
Acta Silvae et Ligni,http://www.forestry.bf.uni-lj.si/,,2335-3112,2335-3953,,,
Lithuanian Annual Strategic Review,http://www.degruyter.com/view/j/lasr,,,2335-870X,,,CC BY-NC-ND
International Journal of Medicine and Surgery,http://www.mbmj.org/index.php/ijms,,,2336-0313,,,CC BY
Czech-Polish Historical and Pedagogical Journal,http://www.degruyter.com/view/j/cphpj,,,2336-1654,,,CC BY-NC-ND
Journal on Efficiency and Responsibility in Education and Science,http://www.eriesjournal.com/index.php?idScript=1,ERIES Journal,2336-2375,1803-1617,,,
Prague Journal of English Studies,http://www.degruyter.com/view/j/pjes,,,2336-2685,,,CC BY-NC-ND
International Journal of Entrepreneurial Knowledge,http://www.degruyter.com/view/j/ijek,,,2336-2960,,,CC BY-NC-ND
Casopis Slezskeho Zemskeho Muzea (A),http://www.degruyter.com/view/j/cszma,"Časopis Slezského Zemského Muzea. Série A, Vědy Přírodní",,2336-3207,,,CC BY
Central European Journal of Nursing and Midwifery,http://periodicals.osu.eu/cejnm/,,,2336-3517,,,CC BY
Journal of Metallomics and Nanotechnologies,http://web2.mendelu.cz/af_239_nanotech/J_Met_Nano/index.html,,,2336-3940,,,CC BY-NC-ND
Acta Gymnica,http://gymnica.upol.cz,,2336-4912,2336-4920,,,CC BY
Journal of Central Banking Theory and Practice,http://www.degruyter.com/view/j/jcbtp,,,2336-9205,,,CC BY-NC-ND
Ecologica Montenegrina,http://www.ecol-mne.com,,,2336-9744,,,CC BY
Logos et Littera: Interdisciplinary Approaches to Text,http://www.ll.ac.me,,,2336-9884,,,CC BY-NC-ND
Journal of Mathematical and Fundamental Sciences,http://journals.itb.ac.id/index.php/jmfs,,2337-5760,2338-5510,,,CC BY-ND
Journal of Engineering and Technological Sciences,http://journals.itb.ac.id/index.php/jets,,2337-5779,2338-5502,,,CC BY-ND
Journal of ICT Research and Applications,http://journals.itb.ac.id/index.php/jictra/index,,2337-5787,2338-5499,,,CC BY-ND
Simbiosis: Journal of Biological Sciences,http://ojs.unud.ac.id/index.php/simbiosis,,2337-7224,,,,CC BY
Jurnal Akuntabilitas Manajemen Pendidikan,http://journal.uny.ac.id/index.php/jamp,,2337-7895,2461-0550,,,CC BY-SA
Jurnal Anestesi Perioperatif,http://journal.fk.unpad.ac.id/index.php/jap,Perioperative Anesthesia Journal,2337-7909,2338-8463,,http://journal.fk.unpad.ac.id/index.php/jap/about/statistics,CC BY-NC
International Journal of Agriculture System,http://pasca.unhas.ac.id/ojs/index.php/ijas/index,IJAS,2337-9782,,,,CC BY-SA
Parole: Journal of Linguistics and Education,http://ejournal.undip.ac.id/index.php/parole,,2338-0683,,,,CC BY-SA
Journal of Asean Studies,http://journal.binus.ac.id/index.php/jas/,,2338-1361,2338-1353,Yes,http://journal.binus.ac.id/index.php/jas/about/editorialPolicies#custom-2,CC BY-NC
Indonesian Journal of Educational Review,http://pps.unj.ac.id/journal/ijer,IJER,2338-2015,2355-8407,,,CC BY
Electronic Journal of Graph Theory and Applications,http://www.ejgta.org/,EJGTA,2338-2287,,,,
E-Journal of Cultural Studies,http://ojs.unud.ac.id/index.php/ecs,,2338-2449,,,,CC BY
Izumi,http://ejournal.undip.ac.id/index.php/izumi,"Izumi: Jurnal Bahasa, Sastra dan Budaya Jepang",2338-249X,,,,CC BY-SA
Edukasi,http://ejournal.staim-tulungagung.ac.id/index.php/EDUKASI/issue/view/4,Jurnal Pendidikan Islam,2338-3054,2407-3717,,,CC BY
Jurnal Perspektif Pembiayaan dan Pembangunan Daerah,http://online-journal.unja.ac.id/index.php/JES,,2338-4603,2355-8520,,http://online-journal.unja.ac.id/index.php/JES/about/statistics,CC BY
Jurnal Prima Edukasi,http://journal.uny.ac.id/index.php/jpe,,2338-4743,,,,CC BY-SA
Resital: Jurnal Seni Pertunjukan,http://journal.isi.ac.id/index.php/resital,Resital,2338-6770,2085-9910,,,CC BY
Jurnal Pendidikan Humaniora,http://journal.um.ac.id/index.php/jph,Journal of Humanities Education,2338-8110,2442-3890,Yes,http://journal.um.ac.id/index.php/jph/about,CC BY-SA
Berkala Ilmiah Pertanian,http://jurnal.unej.ac.id/index.php/BIP/index,,2338-8331,,,,CC BY-NC-ND
Rechtsidee,http://ojs.umsida.ac.id/index.php/rechtsidee,Rechtsidee: Jurnal Ilmu Hukum,2338-8595,2443-3497,,,CC BY
Jurnal Pendidikan Sains,http://journal.um.ac.id/index.php/jps/index,JPS,2338-9117,2442-3904,Yes,http://journal.um.ac.id/index.php/jps/about,CC BY
Journal of Degraded and Mining Lands Management,http://www.jdmlm.ub.ac.id,J. Degrade. Min. Land Manage.,2339-076X,,,,CC BY
Jurnal Pendidikan IPA Indonesia,http://journal.unnes.ac.id/nju/index.php/jpii,,2339-1286,2089-4392,,http://journal.unnes.ac.id/nju/index.php/jpii/pages/view/StatisticsCounter,CC BY
Jurnal Ilmiah Administrasi Publik,http://ejournalfia.ub.ac.id/index.php/jiap/index,Journal of Public Administrative Science,2339-2932,2302-2698,,,CC BY
Indialogs: Spanish Journal of India Studies ,http://revistes.uab.cat/indialogs/index,Indi@logs,,2339-8523,,,CC BY
Conductual: Revista Internacional de Interconductismo y Análisis de Conducta,http://www.conductual.com,International Journal of Interbehaviorism and Behavior Analysis,,2340-0242,,,CC BY-NC-SA
Atalanta: Revista de las Letras Barrocas,http://www.revistaatalanta.com/index.php/ARLB,ARLB,,2340-1176,,,CC BY-NC-SA
Kamchatka: Revista de Análisis Cultural,http://ojs.uv.es/index.php/kamchatka,,,2340-1869,,,CC BY-NC
Scripta : Revista Internacional de Literatura i Cultura Medieval i Moderna,http://www.uv.es/SCRIPTA,International Journal of Medieval & Modern Literature & Culture,2340-4841,,,,CC BY-NC-ND
International Journal of Production Management and Engineering,http://polipapers.upv.es/index.php/IJPME,,2340-4876,,Yes,http://polipapers.upv.es/index.php/IJPME/statisticCharts,CC BY-NC
Revista Española de Discapacidad,http://www.cedd.net/redis,REDIS,,2340-5104,,,CC BY-NC-ND
Hipo tesis : Serie numerada,http://www.hipo-tesis.eu/serienumerada_ingles.html,HipoTesis : Numbered Issues,2340-5147,,,,CC BY-NC-SA
"Espacio, Tiempo y Educación",http://www.espaciotiempoyeducacion.com,,,2340-7263,,,CC BY-NC
Revista de Psicología Clínica con Niños y Adolescentes,http://www.revistapcna.com/,,,2340-8340,,,CC BY-NC-ND
methaodos.revista de ciencias sociales,http://www.methaodos.org/revista-methaodos/index.php/methaodos,methaodos.rcs,,2340-8413,,,CC BY-NC
Revista de Evaluación de Programas y Políticas Públicas,http://e-spacio.uned.es/revistasuned/index.php/REPPP,Journal of Public Programs and Policy Evaluation,,2340-8464,,,CC BY-NC
Investigaciones Sobre Lectura,http://comprensionlectora.es/revistaisl/index.php/revistaISL,,,2340-8685,,,CC BY-NC
Nailos: Estudios Interdisciplinares de Arqueología,http://nailos.org/,Nailos,2340-9126,2341-1074,,,CC BY-NC-ND
Fisioterapia y Divulgación,http://revista.fisioterapiasinred.com/index.php?journal=fisioydivulgacion&page=index,,,2340-9509,,,CC BY
rita_,http://ojs.redfundamentos.com/,Revista indexada de textos académicos,2340-9711,2386-7027,,,CC BY-NC-SA
Archives for the Philosophy and History of Soft Computing,http://aphsc.org,,,2341-0183,,,CC BY
[i2]: Investigación e Innovación en Arquitectura y Territorio,http://i2.ua.es,,,2341-0515,,,CC BY-NC
Zarch,http://zarch.unizar.es,Journal of Interdisciplinary Studies in Architecture and Urbanism,2341-0531,2387-0346,,,CC BY
Littera Aperta,http://www.uco.es/litteraaperta,Littera Aperta: International Journal of Literary and Cultural Studies,,2341-0663,Yes,http://www.uco.es/litteraaperta/index.php/litteraaperta/article/view/17,CC BY
Revista de Derecho Civil,http://www.nreg.es/ojs/index.php/RDC/index,,,2341-2216,Yes,,CC BY-NC
Erasmo: Revista de Historia Bajomedieval y Moderna,http://www5.uva.es/revistaerasmo/,,,2341-2380,,,Publisher's own license
"Multidisciplinary Journal for Education, Social and Technological Sciences",http://polipapers.upv.es/index.php/MUSE/index,,,2341-2593,Yes,http://polipapers.upv.es/index.php/MUSE/article/view/2190,CC BY-NC-ND
VLC Arquitectura,http://polipapers.upv.es/index.php/VLC/index,VLC Arquitectura: Research Journal,2341-3050,2341-2747,Yes,http://polipapers.upv.es/index.php/VLC/statisticCharts,CC BY-NC
GE: Portuguese Journal of Gastroenterology,http://www.journals.elsevier.com/ge-portuguese-journal-of-gastroenterology/,,2341-4545,,,,CC BY-NC
Neurama,http://www.neurama.es,Revista Electónica de Psicogerontología,,2341-4936,,,CC BY-NC-ND
Current Trends in Translation Teaching and Learning E,http://www.cttl.org/,,,2342-7205,,,CC BY-NC
Hyperion Economic Journal,http://www.hej.hyperion.ro,,2343-7995,,,,
Global Economic Observer,http://www.globeco.ro/,,2343-9742,2343-9750,,,
Computational Methods in Social Sciences,http://cmss.univnt.ro,,2344-1232,,,,
Acta Universitatis Cibiniensis. Series E: Food Technology,http://www.degruyter.com/view/j/aucft,,,2344-150X,,,CC BY-NC-ND
Network Intelligence Studies,http://nis.bxb.ro,,,2344-1712,,,CC BY-ND
Europolity: Continuity and Change in European Governance,http://europolity.eu/europolity-journal/,,2344-2247,2344-2255,,,CC BY
Bulletin of University of Agricultural Sciences and Veterinary Medicine Cluj-Napoca: Food Science and Technology,http://journals.usamvcluj.ro/index.php/fst/index,,2344-2344,2344-5300,,,CC BY
Transylvanian Review of Systematical and Ecological Research,http://www.degruyter.com/view/j/trser,,,2344-3219,,,CC BY-NC-ND
Language and Literature - European Landmarks of Identity,http://upit.ro/index.php?page=language-and-literature-european-landmarks-of-identity,,2344-4894,,,,Not CC-like
Studies in Business and Economics,http://eccsf.ulbsibiu.ro/publicatii.html,,,2344-5416,,,
Studies in History and Theory of Architecture,http://sita.uauim.ro,Studii de Istoria și Teoria Arhitecturii,2344-6544,2457-1687,,,CC BY
Expert Journal of Marketing,http://marketing.expertjournals.com/,,,2344-6773,,,CC BY
Expert Journal of Business and Management,http://business.expertjournals.com/,,,2344-6781,,,CC BY
Legal and Administrative Studies,http://www.jlas.upit.ro,Studii Juridice şi Administrative,,2344-6900,,,CC BY-NC-SA
Social Transformations in Contemporary Society,http://stics.mruni.eu/annual-journal/,,2345-0126,,,,
Journal of Water Security,http://jws.asu.lt,,,2345-0363,,,CC BY-NC
"Journal of Research on Trade, Management and Economic Development",http://jrtmed.uccm.md/,JRTMED,2345-1424,2345-1483,,http://jrtmed.uccm.md/index.php/en,CC BY-NC-ND
Journal of Health Sciences and Surveillance System,http://jhsss.sums.ac.ir/index.php/jhsss/index,,2345-2218,2345-3893,,,CC BY
Journal of Cardio-Thoracic Medicine ,http://jctm.mums.ac.ir/,,2345-2447,2322-5750,Yes,http://jctm.mums.ac.ir/article_4376_597.html,CC BY-NC
Journal Safety Promotion and Injury Prevention,http://www.journals.sbmu.ac.ir/spip,,2345-2455,,,,
Journal of Tethys,http://jtethys.org/,,,2345-2471,,,Publisher's own license
Journal of Fasting and Health,http://jfh.mums.ac.ir/,JFH,,2345-2587,,,CC BY-NC
Infopreneurship Journal,http://www.infopreneurship.net/,,,2345-265X,,,CC BY-NC-ND
Iranian Journal of Ophthalmology,http://www.irjo.org/,,2345-279X,2345-2714,,,
Journal of Pediatric Nephrology,http://journals.sbmu.ac.ir/jpn/,,,2345-3176,Yes,,CC BY-NC-ND
"Iranian Journal of Health, Safety and Environment",http://www.ijhse.ir,IJHSE,2345-3206,2345-5535,,,CC BY
Novelty in Biomedicine,http://journals.sbmu.ac.ir/nbm,,2345-3346,2345-3907,,http://journals.sbmu.ac.ir/index.php/nbm/index,Not CC-like
Journal of Enteric Pathogens,http://enterpathog.com/?page=home,,2345-3362,2322-5866,,,CC BY-NC
International Journal of Computer Science and Network Solutions,http://www.ijcsns.com,,2345-3397,,,,
Journal of Algebra and Related Topics,http://jart.guilan.ac.ir/,JART,2345-3931,2382-9877,Yes,http://jart.guilan.ac.ir/article_62_12.html,CC BY-NC
Journal of Mathematical Modeling,http://research.guilan.ac.ir/jmm/,,2345-394X,,,,Not CC-like
Jentashapir Journal of Health Research,http://jjhres.com/,,,2345-4067,,,CC BY-NC
Avicenna Journal of Medical Biochemistry,http://avicennajb.com/?page=home,,,2345-4113,,http://avicennajb.com/?page=archives,CC BY-NC
Journal of River Engineering,http://www.scijour.com/JRE,,,2345-4199,Yes,http://www.scijour.com/page/journal-main-page.html?jourId=2,Not CC-like
Journal of Nephropharmacology,http://www.jnephropharmacology.com,,,2345-4202,,,CC BY
Journal of Rehabilitation in Civil Engineering,http://civiljournal.semnan.ac.ir/,,,2345-4423,Yes,http://civiljournal.semnan.ac.ir/article_203_35.html,Publisher's own license
Research Journal of Pharmacognosy,http://rjpharmacognosy.ir/,RJP,2345-4458,2345-5977,Yes,,CC BY-NC
Patient Safety and Quality Improvement Journal,http://psj.mums.ac.ir/,Patient Safety,2345-4482,2345-4490,,,CC BY-NC
Emergency,http://journals.sbmu.ac.ir/emergency,,2345-4563,2345-4571,Yes,http://journals.sbmu.ac.ir/emergency/about/statistics,CC BY-NC-SA
The Archives of Bone & Joint Surgery,http://abjs.mums.ac.ir/,ABJS,2345-4644,2345-461X,Yes,http://abjs.mums.ac.ir/article_2360_423.html,CC BY-NC
Journal of Midwifery & Reproductive Health ,http://jmrh.mums.ac.ir/,,,2345-4792,Yes,,Not CC-like
Journal of Analytical Research in Clinical Medicine,http://journals.tbzmed.ac.ir/JARCM/,,,2345-4970,,,CC BY
Geodynamics Research International Bulletin,http://www.geo-dynamica.com/,GRIB,,2345-4997,,,CC BY
Journal of HerbMed Pharmacology,http://www.herbmedpharmacol.com/,J HerbMed Pharmacol,,2345-5004,,,CC BY
Water Resources and Development,http://www.waterdevelop.com/index.html,International Bulletin of Water Resources and Development,,2345-5012,,,CC BY
International Journal of Pediatrics,http://ijp.mums.ac.ir,,2345-5047,2345-5055,Yes,http://ijp.mums.ac.ir,CC BY-SA
Journal of Archives in Military Medicine,http://jammonline.com/?page=home,,,2345-5063,,,CC BY-NC
International Journal of Medical Reviews,http://journals.bmsu.ac.ir/ijmr/index.php/ijmr/index,,,2345-525X,Yes,http://journals.bmsu.ac.ir/ijmr/index.php/ijmr/about/statistics,CC BY-NC-SA
Applied Food Biotechnology,http://journals.sbmu.ac.ir/afb/index,,2345-5357,2423-4214,,,CC BY-NC
"International Journal of Body, Mind and Culture",http://ijbmc.org,,,2345-5802,,http://ijbmc.org/index.php/ijbmc/index,CC BY-NC
Journal of Rehabilitation Sciences and Research ,http://jrsr.sums.ac.ir/index.php/jrsr/index,,,2345-6159,,,CC BY
Reviews in Clinical Medicine,http://rcm.mums.ac.ir/,,2345-6256,2345-6892,,,CC BY
Space Ontology International Journal,http://soij.qiau.ac.ir/,Space Ontology,2345-6450,2423-7299,Yes,http://soij.qiau.ac.ir/article_516054_110889.html,CC BY-NC
Journal of Parathyroid Disease,http://www.jparathyroid.com,J. Parathyr. Dis.,,2345-6558,,,CC BY
Poultry Science Journal,http://psj.gau.ac.ir,,2345-6604,2345-6566,Yes,http://psj.gau.ac.ir,Not CC-like
International Journal of Organizational Leaderhip,http://aimijournal.com/Pages/Public/JournalGate.aspx?Action=0&SubjectId=1a5b0bc1-7ac9-4554-bcde-4c202a546bf4&JournalId=d09bbfae-ea92-4d65-b205-76fbf8c1ad58,,,2345-6744,,,CC BY
Gene Cell Tissue,http://genecelltissue.com/?page=home,Gene Cell Tissue,2345-6833,2345-6841,,http://genecelltissue.com/?page=pages&page_id=463,CC BY
Innovaciencia,http://revistas.udes.edu.co/site/index.php/innovaciencia/index,,,2346-075X,,,CC BY-NC-SA
Anuario Iberoamericano de Derecho Internacional Penal,http://revistas.urosario.edu.co/index.php/anidip/index,ANIDIP,,2346-3120,,,CC BY-NC
Eesti Haridusteaduste Ajakiri,http://ojs.utlib.ee/index.php/EHA/,Estonian Journal of Education,,2346-562X,,,CC BY-NC-ND
Cuestiones de Sociología,http://www.cuestionessociologia.fahce.unlp.edu.ar/,,,2346-8904,,,CC BY-NC-ND
Trabajos y Comunicaciones,http://www.trabajosycomunicaciones.fahce.unlp.edu.ar/,,,2346-8971,,,CC BY-NC-ND
Iberoamerican Journal of Project Management,http://journal.riipro.org/index.php/IJOPM/index,,,2346-9161,,,CC BY
Aura: Revista de Historia y Teoría del Arte,http://www.ojs.arte.unicen.edu.ar/index.php/aura,,,2347-0135,,,CC BY
Revista Estudios Ambientales,http://ojs.fch.unicen.edu.ar/index.php/estudios-ambientales/,,,2347-0941,,,CC BY
International Journal of Advances in Applied Mathematics and Mechanics,http://www.ijaamm.com/,IJAAMM,,2347-2529,,,CC BY-NC-ND
Journal of Research in Medical and Dental Science,http://www.scopemed.org/?jid=35,,2347-2545,2347-2367,Yes,http://www.scopemed.org/?mno=151389,CC BY-NC
Kerala Heart Journal,http://keralaheartjournal.in/ojs/index.php/KHJ/index,,2347-5269,2454-6755,,,CC BY
Annals of Community Health,http://www.annalsofcommunityhealth.in/,Ann Comm Health,2347-5455,2347-5714,,,CC BY-NC-SA
Asia-Pacific Journal of Oncology Nursing,http://www.apjon.org/,,2347-5625,2349-6673,Yes,http://www.apjon.org/showstats.asp?a=ts,CC BY-NC-SA
Neuroimmunology and Neuroinflammation,http://www.nnjournal.net/,Neuroimmunol Neuroinflammation,2347-8659,2349-6142,Yes,http://www.nnjournal.net/,CC BY-NC-SA
Plastic and Aesthetic Research,http://www.parjournal.net,,2347-9264,2349-6150,Yes,,CC BY-NC-SA
Journal of Neuroanaesthesiology and Critical Care,http://www.jnaccjournal.org/,,2348-0548,2348-926X,Yes,http://medknow.com/statistics.asp,CC BY-NC-SA
Perspectives In Medical Research,http://www.pimr.org.in/,None ,2348-1447,2348-229X,,,Publisher's own license
BMH Medical Journal,http://www.babymhospital.org/BMH_MJ/index.php/BMHMJ/index,,,2348-392X,,,CC BY
